iter	Passed	Remaining
864	1988	310
865	1990	308
866	1992	305
867	1995	303
868	1997	301
869	2000	298
870	2002	296
871	2004	294
872	2007	292
873	2009	289
874	2012	287
875	2014	285
876	2017	282
877	2020	280
878	2022	278
879	2024	276
880	2027	273
881	2029	271
882	2032	269
883	2034	267
884	2037	264
885	2039	262
886	2042	260
887	2044	257
888	2047	255
889	2049	253
890	2051	251
891	2054	248
892	2056	246
893	2059	244
894	2061	241
895	2063	239
896	2065	237
897	2067	234
898	2070	232
899	2072	230
900	2074	227
901	2076	225
902	2078	223
903	2080	220
904	2082	218
905	2084	216
906	2087	214
907	2089	211
908	2091	209
909	2094	207
910	2096	204
911	2098	202
912	2100	200
913	2102	197
914	2104	195
915	2107	193
916	2109	190
917	2111	188
918	2113	186
919	2116	184
920	2118	181
921	2120	179
922	2123	177
923	2125	174
924	2127	172
925	2130	170
926	2132	167
927	2134	165
928	2136	163
929	2138	160
930	2140	158
931	2142	156
932	2144	154
933	2147	151
934	2149	149
935	2151	147
936	2153	144
937	2155	142
938	2157	140
939	2160	137
940	2162	135
941	2164	133
942	2166	130
943	2168	128
944	2171	126
945	2173	124
946	2175	121
947	2177	119
948	2179	117
949	2181	114
950	2184	112
951	2186	110
952	2188	107
953	2190	105
954	2192	103
955	2194	101
956	2196	98
957	2199	96
958	2201	94
959	2203	91
960	2205	89
961	2208	87
962	2210	84
963	2212	82
964	2214	80
965	2216	78
966	2219	75
967	2221	73
968	2223	71
969	2225	68
970	2227	66
971	2230	64
972	2232	61
973	2235	59
974	2238	57
975	2240	55
976	2242	52
977	2245	50
978	2247	48
979	2249	45
980	2251	43
981	2253	41
982	2256	39
983	2258	36
984	2260	34
985	2262	32
986	2264	29
987	2267	27
988	2269	25
989	2272	22
990	2274	20
991	2276	18
992	2279	16
993	2281	13
994	2284	11
995	2286	9
996	2288	6
997	2290	4
998	2292	2
999	2294	0
